,mouse,study,conc,pre.ret,pre.mn.ret,pre.prop.mn.ret,post.ret,post.mn.ret,post.prop.mn.ret,bm.ret,bm.mn.ret,prop.bm.mn.ret
JEF_604,JEF_604,2,1,19939,61,0.00305,19937,63,0.00315,19878,122,0.0061
JEF_611,JEF_611,2,1,19950,50,0.0025,19945,55,0.00275,19749,251,0.01255
JEF_617,JEF_617,2,1,19930,70,0.0035,19930,70,0.0035,19955,45,0.00225
JEF_624,JEF_624,2,1,19973,27,0.00135,19940,60,0.003,NA,NA,NA
JEF_625,JEF_625,2,1,19928,72,0.0036,19919,81,0.00405,19955,45,0.00225
JEF_627,JEF_627,2,1,19976,24,0.0012,19958,42,0.0021,NA,NA,NA
JEF_628,JEF_628,2,1,19967,33,0.00165,19945,55,0.00275,19940,60,0.003
JEF_637,JEF_637,2,1,19958,42,0.0021,19962,38,0.0019,19877,123,0.00615
JEF_640,JEF_640,2,1,19962,38,0.0019,19965,35,0.00175,19936,64,0.0032
JEF_641,JEF_641,2,1,19974,26,0.0013,19970,30,0.0015,19912,88,0.0044
JEF_642,JEF_642,2,1,19941,59,0.00295,19932,68,0.0034,19945,55,0.00275
JEF_648,JEF_648,2,1,19979,21,0.00105,19976,24,0.0012,19950,50,0.0025
JEF_649,JEF_649,2,1,19953,47,0.00235,19946,54,0.0027,19899,101,0.00505
JEF_330,JEF_330,2,10,19973,27,0.00135,19973,27,0.00135,19917,83,0.00415
JEF_332,JEF_332,2,10,19950,50,0.0025,19927,73,0.00365,19884,116,0.0058
JEF_336,JEF_336,2,10,19953,47,0.00235,19956,44,0.0022,19819,181,0.00905
JEF_340,JEF_340,2,10,19954,46,0.0023,19952,48,0.0024,19930,70,0.0035
JEF_341,JEF_341,2,10,19962,38,0.0019,19946,54,0.0027,19964,36,0.0018
JEF_342,JEF_342,2,10,19909,91,0.00455,19887,113,0.00565,19837,164,0.00819959002049898
JEF_347,JEF_347,2,10,19964,36,0.0018,NA,NA,NA,NA,NA,NA
JEF_349,JEF_349,2,10,19963,37,0.00185,19947,53,0.00265,19930,70,0.0035
JEF_352,JEF_352,2,10,19979,21,0.00105,19939,61,0.00305,19913,87,0.00435
JEF_359,JEF_359,2,10,19941,59,0.00295,19878,122,0.0061,19899,101,0.00505
JEF_369,JEF_369,2,10,19936,64,0.0032,19924,76,0.0038,19879,121,0.00605
JEF_373,JEF_373,2,10,19936,64,0.0032,19898,102,0.0051,NA,NA,NA
JEF_378,JEF_378,2,10,19966,34,0.0017,19938,62,0.0031,19893,108,0.00539973001349933
JEF_379,JEF_379,2,10,19968,32,0.0016,19954,46,0.0023,19807,194,0.00969951502424879
JEF_384,JEF_384,2,10,19969,31,0.00155,19971,29,0.00145,19969,31,0.00155
JEF_400,JEF_400,2,10,19949,51,0.00255,19909,91,0.00455,19861,139,0.00695
JEF_404,JEF_404,2,10,19931,69,0.00345,19887,113,0.00565,19923,77,0.00385
JEF_413,JEF_413,2,10,19953,47,0.00235,19953,47,0.00235,19884,116,0.0058
JEF_414,JEF_414,2,10,19941,59,0.00295,19973,27,0.00135,19881,119,0.00595
JEF_417,JEF_417,2,10,19919,81,0.00405,19908,92,0.0046,19862,138,0.0069
JEF_424,JEF_424,2,10,19965,35,0.00175,19924,76,0.0038,19889,111,0.00555
JEF_425,JEF_425,2,10,19967,33,0.00165,19950,50,0.0025,19889,111,0.00555
JEF_436,JEF_436,2,10,19969,31,0.00155,19947,53,0.00265,19942,58,0.0029
JEF_439,JEF_439,2,10,19972,28,0.0014,19967,33,0.00165,19900,102,0.0050994900509949
JEF_441,JEF_441,2,10,19943,57,0.00285,19931,69,0.00345,19881,119,0.00595
JEF_450,JEF_450,2,10,19965,35,0.00175,19954,45,0.00225011250562528,19887,113,0.00565
JEF_456,JEF_456,2,10,19985,15,0.00075,19964,36,0.0018,19975,25,0.00125
JEF_459,JEF_459,2,10,19958,42,0.0021,19949,51,0.00255,19913,89,0.00444955504449555
JEF_461,JEF_461,2,10,19950,50,0.0025,19937,63,0.00315,19911,89,0.00445
JEF_462,JEF_462,2,10,19960,40,0.002,19913,74,0.00370240656426677,19826,175,0.00874956252187391
JEF_463,JEF_463,2,10,19939,61,0.00305,19927,73,0.00365,19900,100,0.005
JEF_468,JEF_468,2,10,19952,48,0.0024,19951,49,0.00245,19898,102,0.0051
JEF_470,JEF_470,2,10,19884,116,0.0058,19834,166,0.0083,19789,212,0.0105994700264987
JEF_475,JEF_475,2,10,19940,60,0.003,19923,77,0.00385,19801,199,0.00995
JEF_479,JEF_479,2,10,19967,33,0.00165,19860,140,0.007,19834,166,0.0083
JEF_482,JEF_482,2,10,19953,47,0.00235,19918,82,0.0041,19822,178,0.0089
JEF_484,JEF_484,2,10,19971,29,0.00145,19964,36,0.0018,19912,88,0.0044
JEF_487,JEF_487,2,10,19957,43,0.00215,19953,47,0.00235,19948,52,0.0026
JEF_488,JEF_488,2,10,19946,54,0.0027,19913,87,0.00435,19859,141,0.00705
JEF_496,JEF_496,2,10,19949,51,0.00255,19920,80,0.004,19902,98,0.0049
JEF_501,JEF_501,2,10,19920,80,0.004,19910,90,0.0045,19805,196,0.00979951002449878
JEF_502,JEF_502,2,10,19967,33,0.00165,19916,84,0.0042,19946,54,0.0027
JEF_504,JEF_504,2,10,19938,62,0.0031,19861,139,0.00695,19635,365,0.01825
JEF_507,JEF_507,2,10,19949,51,0.00255,19934,66,0.0033,19832,169,0.00844957752112394
JEF_514,JEF_514,2,10,19940,60,0.003,19928,72,0.0036,19948,52,0.0026
JEF_524,JEF_524,2,10,19954,46,0.0023,19963,37,0.00185,19944,56,0.0028
JEF_525,JEF_525,2,10,19965,35,0.00175,19953,47,0.00235,19922,78,0.0039
JEF_529,JEF_529,2,10,19959,41,0.00205,19839,161,0.00805,NA,NA,NA
JEF_531,JEF_531,2,10,19965,35,0.00175,19951,49,0.00245,19929,71,0.00355
JEF_534,JEF_534,2,10,19959,41,0.00205,19957,43,0.00215,19948,52,0.0026
JEF_537,JEF_537,2,10,19963,37,0.00185,19927,73,0.00365,19681,319,0.01595
JEF_538,JEF_538,2,10,19970,30,0.0015,19958,42,0.0021,19866,134,0.0067
JEF_543,JEF_543,2,10,19959,41,0.00205,19983,17,0.00085,19803,197,0.00985
JEF_545,JEF_545,2,10,19928,72,0.0036,19924,76,0.0038,19903,97,0.00485
JEF_547,JEF_547,2,10,19956,44,0.0022,19932,68,0.0034,19881,119,0.00595
JEF_548,JEF_548,2,10,19949,51,0.00255,19900,100,0.005,19737,263,0.01315
JEF_554,JEF_554,2,10,19966,34,0.0017,19916,84,0.0042,19822,178,0.0089
JEF_556,JEF_556,2,10,19966,34,0.0017,19950,50,0.0025,19846,154,0.0077
JEF_557,JEF_557,2,10,19911,89,0.00445,19873,127,0.00635,19835,166,0.00829958502074896
JEF_560,JEF_560,2,10,19918,82,0.0041,19904,96,0.0048,19856,144,0.0072
JEF_574,JEF_574,2,10,19926,74,0.0037,19901,99,0.00495,19909,91,0.00455
JEF_577,JEF_577,2,10,19949,51,0.00255,19904,96,0.0048,19889,111,0.00555
JEF_580,JEF_580,2,10,19961,39,0.00195,19948,52,0.0026,19953,47,0.00235
JEF_581,JEF_581,2,10,19956,44,0.0022,19936,64,0.0032,19909,93,0.00464953504649535
JEF_597,JEF_597,2,10,19962,38,0.0019,19923,77,0.00385,NA,NA,NA
JEF_599,JEF_599,2,10,19959,41,0.00205,NA,43,NA,19863,137,0.00685
JEF_605,JEF_605,2,10,19943,57,0.00285,19947,53,0.00265,19907,93,0.00465
JEF_607,JEF_607,2,10,19953,47,0.00235,19952,48,0.0024,19916,84,0.0042
JEF_608,JEF_608,2,10,19932,68,0.0034,19950,50,0.0025,19947,53,0.00265
JEF_612,JEF_612,2,10,19958,42,0.0021,19935,65,0.00325,19755,245,0.01225
JEF_615,JEF_615,2,10,19944,56,0.0028,19932,68,0.0034,19939,61,0.00305
JEF_620,JEF_620,2,10,19933,67,0.00335,19951,49,0.00245,19948,52,0.0026
JEF_636,JEF_636,2,10,19978,22,0.0011,19963,37,0.00185,19940,60,0.003
JEF_647,JEF_647,2,10,19961,39,0.00195,19954,46,0.0023,19914,86,0.0043
JEF_651,JEF_651,2,10,19967,33,0.00165,19937,63,0.00315,19914,86,0.0043
JEF_338,JEF_338,2,100,19954,46,0.0023,19849,151,0.00755,19789,211,0.01055
JEF_346,JEF_346,2,100,19974,26,0.0013,19929,71,0.00355,19866,134,0.0067
JEF_354,JEF_354,2,100,19952,48,0.0024,19553,447,0.02235,19596,404,0.0202
JEF_357,JEF_357,2,100,19977,23,0.00115,19719,281,0.01405,19866,134,0.0067
JEF_361,JEF_361,2,100,19956,44,0.0022,19484,516,0.0258,19662,338,0.0169
JEF_362,JEF_362,2,100,19972,28,0.0014,20209,407,0.0197419480015522,19734,266,0.0133
JEF_363,JEF_363,2,100,19938,62,0.0031,19907,93,0.00465,19812,188,0.0094
JEF_364,JEF_364,2,100,19960,40,0.002,19921,79,0.00395,19943,57,0.00285
JEF_366,JEF_366,2,100,19969,31,0.00155,19903,97,0.00485,19853,148,0.00739963001849908
JEF_370,JEF_370,2,100,19956,44,0.0022,19916,84,0.0042,19886,114,0.0057
JEF_371,JEF_371,2,100,19949,51,0.00255,19622,378,0.0189,19287,713,0.03565
JEF_376,JEF_376,2,100,19959,41,0.00205,19411,589,0.02945,19530,470,0.0235
JEF_377,JEF_377,2,100,19931,69,0.00345,19780,650,0.0318159569260891,19346,654,0.0327
JEF_380,JEF_380,2,100,19962,38,0.0019,19902,98,0.0049,19926,74,0.0037
JEF_381,JEF_381,2,100,19967,33,0.00165,19912,88,0.0044,19874,126,0.0063
JEF_385,JEF_385,2,100,19966,34,0.0017,19938,62,0.0031,19909,91,0.00455
JEF_388,JEF_388,2,100,19974,26,0.0013,NA,NA,NA,NA,NA,NA
JEF_391,JEF_391,2,100,19942,58,0.0029,19167,833,0.04165,19425,575,0.02875
JEF_395,JEF_395,2,100,19923,77,0.00385,19007,993,0.04965,19060,940,0.047
JEF_396,JEF_396,2,100,19968,32,0.0016,19590,410,0.0205,19768,232,0.0116
JEF_411,JEF_411,2,100,19950,50,0.0025,19594,406,0.0203,19767,233,0.01165
JEF_418,JEF_418,2,100,19938,62,0.0031,19946,554,0.0270243902439024,19601,399,0.01995
JEF_428,JEF_428,2,100,19919,81,0.00405,19189,811,0.04055,19161,839,0.04195
JEF_432,JEF_432,2,100,19965,35,0.00175,19762,238,0.0119,19700,301,0.0150492475376231
JEF_437,JEF_437,2,100,19959,41,0.00205,19895,105,0.00525,19744,258,0.0128987101289871
JEF_440,JEF_440,2,100,19935,65,0.00325,19258,742,0.0371,19324,676,0.0338
JEF_443,JEF_443,2,100,19944,56,0.0028,19905,95,0.00475,19931,69,0.00345
JEF_448,JEF_448,2,100,19964,36,0.0018,19626,374,0.0187,19675,325,0.01625
JEF_449,JEF_449,2,100,19929,71,0.00355,18817,1183,0.05915,18992,1008,0.0504
JEF_451,JEF_451,2,100,19948,52,0.0026,19879,121,0.00605,19894,106,0.0053
JEF_467,JEF_467,2,100,19940,60,0.003,19407,593,0.02965,19637,363,0.01815
JEF_469,JEF_469,2,100,19931,69,0.00345,19231,769,0.03845,19141,859,0.04295
JEF_474,JEF_474,2,100,19976,24,0.0012,19816,184,0.0092,19808,192,0.0096
JEF_490,JEF_490,2,100,19909,91,0.00455,18641,1359,0.06795,18738,1263,0.0631468426578671
JEF_493,JEF_493,2,100,19955,45,0.00225,19454,546,0.0273,19566,434,0.0217
JEF_498,JEF_498,2,100,19962,37,0.00185009250462523,NA,NA,NA,NA,NA,NA
JEF_499,JEF_499,2,100,19941,59,0.00295,19385,615,0.03075,19325,676,0.0337983100844958
JEF_503,JEF_503,2,100,19961,39,0.00195,19886,114,0.0057,19877,124,0.00619969001549923
JEF_505,JEF_505,2,100,19978,22,0.0011,19696,304,0.0152,19427,573,0.02865
JEF_506,JEF_506,2,100,19961,39,0.00195,19901,99,0.00495,19896,104,0.0052
JEF_516,JEF_516,2,100,19966,34,0.0017,19943,57,0.00285,19844,156,0.0078
JEF_517,JEF_517,2,100,19922,78,0.0039,18913,1087,0.05435,18924,1076,0.0538
JEF_520,JEF_520,2,100,19957,43,0.00215,19101,899,0.04495,19480,520,0.026
JEF_521,JEF_521,2,100,19971,29,0.00145,19644,356,0.0178,19819,181,0.00905
JEF_522,JEF_522,2,100,19954,46,0.0023,19878,122,0.0061,19869,131,0.00655
JEF_523,JEF_523,2,100,19956,44,0.0022,19882,118,0.0059,19943,57,0.00285
JEF_527,JEF_527,2,100,19979,21,0.00105,19920,80,0.004,19917,83,0.00415
JEF_541,JEF_541,2,100,19948,52,0.0026,19936,64,0.0032,19957,43,0.00215
JEF_552,JEF_552,2,100,19973,27,0.00135,19693,307,0.01535,19673,327,0.01635
JEF_555,JEF_555,2,100,19932,68,0.0034,NA,NA,NA,NA,NA,NA
JEF_559,JEF_559,2,100,19979,21,0.00105,19870,130,0.0065,NA,NA,NA
JEF_562,JEF_562,2,100,19946,54,0.0027,19067,933,0.04665,19378,622,0.0311
JEF_563,JEF_563,2,100,19961,39,0.00195,19880,514,0.0252034912229087,19527,473,0.02365
JEF_570,JEF_570,2,100,19913,87,0.00435,19463,537,0.02685,19761,239,0.01195
JEF_571,JEF_571,2,100,19961,39,0.00195,19728,272,0.0136,19749,251,0.01255
JEF_572,JEF_572,2,100,19955,45,0.00225,19555,445,0.02225,19778,222,0.0111
JEF_578,JEF_578,2,100,19953,47,0.00235,19922,78,0.0039,19865,135,0.00675
JEF_587,JEF_587,2,100,19972,28,0.0014,19734,266,0.0133,19778,222,0.0111
JEF_596,JEF_596,2,100,19959,41,0.00205,19893,107,0.00535,19861,139,0.00695
JEF_606,JEF_606,2,100,19955,45,0.00225,19918,82,0.0041,19903,97,0.00485
JEF_610,JEF_610,2,100,19957,43,0.00215,19475,525,0.02625,19479,521,0.02605
JEF_614,JEF_614,2,100,19936,64,0.0032,18749,1251,0.06255,19626,374,0.0187
JEF_616,JEF_616,2,100,19966,34,0.0017,19852,148,0.0074,19894,106,0.0053
JEF_618,JEF_618,2,100,19952,48,0.0024,19907,93,0.00465,19913,87,0.00435
JEF_619,JEF_619,2,100,19952,48,0.0024,19894,106,0.0053,19878,122,0.0061
JEF_623,JEF_623,2,100,19924,76,0.0038,19086,914,0.0457,18978,1022,0.0511
JEF_629,JEF_629,2,100,19931,69,0.00345,19242,758,0.0379,19333,667,0.03335
JEF_632,JEF_632,2,100,19953,47,0.00235,19584,416,0.0208,19707,293,0.01465
JEF_634,JEF_634,2,100,19965,35,0.00175,18822,1178,0.0589,19145,855,0.04275
JEF_635,JEF_635,2,100,19938,62,0.0031,19335,665,0.03325,18831,1169,0.05845
JEF_638,JEF_638,2,100,19964,36,0.0018,19919,81,0.00405,19908,92,0.0046
JEF_643,JEF_643,2,100,19951,49,0.00245,19885,115,0.00575,19933,67,0.00335
JEF_646,JEF_646,2,100,19948,52,0.0026,19643,357,0.01785,19618,382,0.0191
JEF_653,JEF_653,2,100,19960,40,0.002,19891,109,0.00545,19876,124,0.0062
